model,distractor_type,distractor_count,dataset,mean_FFS,mean_F1_drop,mean_baseline_F1
gpt41mini,hard_negative,1,hotpot,0.0,0.0,0.001052
gpt41mini,hard_negative,1,squad,0.0,0.0,0.009054
gpt41mini,hard_negative,3,hotpot,0.0,0.0,0.001052
gpt41mini,hard_negative,3,squad,0.0,0.0,0.009054
gpt41mini,hard_negative,5,hotpot,0.0,0.0,0.001052
gpt41mini,hard_negative,5,squad,0.0,0.0,0.009054
gpt41mini,paraphrased_contradiction,1,hotpot,0.0,0.0,0.001052
gpt41mini,paraphrased_contradiction,1,squad,0.0,0.0,0.009054
gpt41mini,paraphrased_contradiction,3,hotpot,0.0,0.0,0.001052
gpt41mini,paraphrased_contradiction,3,squad,0.0,0.0,0.009054
gpt41mini,paraphrased_contradiction,5,hotpot,0.0,0.0,0.001052
gpt41mini,paraphrased_contradiction,5,squad,0.0,0.0,0.009054
gpt41mini,topical,1,hotpot,0.0,0.0,0.001052
gpt41mini,topical,1,squad,0.0,0.0,0.009054
gpt41mini,topical,3,hotpot,0.0,0.0,0.001052
gpt41mini,topical,3,squad,0.0,0.0,0.009054
gpt41mini,topical,5,hotpot,0.0,0.0,0.001052
gpt41mini,topical,5,squad,0.0,0.0,0.009054
llama31,hard_negative,1,hotpot,0.18807968284383553,0.01695,0.082922
llama31,hard_negative,1,squad,0.14229566127445584,0.06107,0.37198
llama31,hard_negative,3,hotpot,0.1508835491629656,-0.009496,0.082922
llama31,hard_negative,3,squad,0.17287608729988524,0.062096,0.37198
llama31,hard_negative,5,hotpot,0.18191041616785783,0.0073620000000000005,0.082922
llama31,hard_negative,5,squad,0.1491965642010266,0.034686,0.37198
llama31,paraphrased_contradiction,1,hotpot,0.1761664546536436,0.016662,0.082922
llama31,paraphrased_contradiction,1,squad,0.15590740671931394,0.051428,0.37198
llama31,paraphrased_contradiction,3,hotpot,0.1761664546536436,0.016662,0.082922
llama31,paraphrased_contradiction,3,squad,0.15590740671931394,0.051428,0.37198
llama31,paraphrased_contradiction,5,hotpot,0.1761664546536436,0.016662,0.082922
llama31,paraphrased_contradiction,5,squad,0.15590740671931394,0.051428,0.37198
llama31,topical,1,hotpot,0.0,0.0,0.082922
llama31,topical,1,squad,0.08416253022284607,0.025376,0.37198
llama31,topical,3,hotpot,0.0,0.0,0.082922
llama31,topical,3,squad,0.0861429826198751,0.025619999999999997,0.37198
llama31,topical,5,hotpot,0.0,0.0,0.082922
llama31,topical,5,squad,0.0861429826198751,0.025619999999999997,0.37198
