dataset,question,model,distractor_count,distractor_type,prediction,EM,F1,latency_ms,recall@5,recall@10
squad,How many protestors were killed in the demonstration?,gpt41mini,0,none,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,0,none,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,1,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,1,topical,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,1,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,1,hard_negative,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,1,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,1,paraphrased_contradiction,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,3,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,3,topical,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,3,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,3,hard_negative,Two protesters were killed in the demonstration led by Nasser against British rule.,0,0.1429,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,3,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,3,paraphrased_contradiction,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,5,topical,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,5,topical,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,5,hard_negative,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,5,hard_negative,Two protesters were killed in the demonstration led by Nasser.,0,0.1818,0,1,1
squad,How many protestors were killed in the demonstration?,gpt41mini,5,paraphrased_contradiction,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0,0,1,1
squad,How many protestors were killed in the demonstration?,llama31,5,paraphrased_contradiction,Two protesters were killed in the demonstration.,0,0.25,0,1,1
squad,what does an isp do?,gpt41mini,0,none,"[gpt41mini error: Error code: 402 - {'error': {'message': 'Insufficient credits. This account never purchased credits. Make sure your key is on the correct account or org, and if so, purchase more at https://openrouter.ai/settings/credits', 'code': 402}}]",0,0.0488,0,1,1
squad,what does an isp do?,llama31,0,none,"An Internet service provider (ISP) provides services for accessing, using the Internet.",0,0.7368,0,1,1
